time,size,iters
0.38556129724121035,8192,2000
0.3923697568364304,2048,2000
0.3852406299131861,16384,2000
0.3848938974608807,32768,2000
0.3781864877927532,4096,2000
0.4139739765633976,512,2000
0.39022278368960883,1024,2000
0.36929291209730764,256,2000
0.37776548931889303,8192,2000
0.3777742851553967,2048,2000
0.389829320556645,16384,2000
0.38724484738161813,32768,2000
0.3773506081543587,4096,2000
0.37477081055214967,512,2000
0.3837566235347367,1024,2000
0.366424326173842,256,2000
0.3790634371947377,8192,2000
0.37647837060639233,2048,2000
0.38562335546887816,16384,2000
0.41240262458797083,32768,2000
0.38410656909171337,4096,2000
0.42325773046769655,512,2000
0.3818027280289016,1024,2000
0.4659403007849505,256,2000
0.3819582012329903,8192,2000
0.38759849438463334,2048,2000
0.3803069335022169,16384,2000
0.38539691798400444,32768,2000
0.37974176696753403,4096,2000
0.4240039394574069,512,2000
0.40036368994122995,1024,2000
0.36555347460875964,256,2000
0.37732871899409653,8192,2000
0.38438455078093625,2048,2000
0.38206809762586497,16384,2000
0.4139632949980987,32768,2000
0.38303680847207033,4096,2000
0.3737580419951314,512,2000
0.37638121338190444,1024,2000
0.38148646093816296,256,2000
0.3799836035156545,8192,2000
0.37648120581046385,2048,2000
0.3849764370422725,16384,2000
0.3886758519592304,32768,2000
0.3854652746584364,4096,2000
0.41508156250102957,512,2000
0.4324538686510948,1024,2000
0.3746190996025689,256,2000
0.38699439324929585,8192,2000
0.38917308422981023,2048,2000
0.39686692376728055,16384,2000
0.39824609844973935,32768,2000
0.3885556840819149,4096,2000
0.4235891074273468,512,2000
0.4050657094722965,1024,2000
0.40271783593937016,256,2000
0.3802101925050039,8192,2000
0.39868612426907646,2048,2000
0.39509538131698996,16384,2000
0.38456911256401494,32768,2000
0.382890136962466,4096,2000
0.4284168808581512,512,2000
0.4031737875997976,1024,2000
0.4488492187419979,256,2000
0.38100893981907186,8192,2000
0.37796544580004365,2048,2000
0.39462808453372133,16384,2000
0.38655460926817486,32768,2000
0.38176810266143946,4096,2000
0.3757479833979005,512,2000
0.3765137773434901,1024,2000
0.36749927929236037,256,2000
0.3775530961913631,8192,2000
0.3758066767591828,2048,2000
0.3811189531555126,16384,2000
0.3848313095398126,32768,2000
0.38172973425254497,4096,2000
0.37262342675603577,512,2000
0.38942309716816226,1024,2000
0.36872037109958455,256,2000
0.3906873394163846,8192,2000
0.3770359028330006,2048,2000
0.38028142221069317,16384,2000
0.38551180320745004,32768,2000
0.38290637194826616,4096,2000
0.37271255077797605,512,2000
0.37476580517648017,1024,2000
0.36970196680385925,256,2000
0.378809572448624,8192,2000
0.38876350854444297,2048,2000
0.3805263053893171,16384,2000
0.384907802063017,32768,2000
0.37743168811044114,4096,2000
0.4286364033205814,512,2000
0.3828126660181397,1024,2000
0.3698827832039342,256,2000
